# Time-averaged data for fix av
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
0 100
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.0339955 0.0025
39 0.9625 0.463576 0.0375
40 0.9875 0.935953 0.11
41 1.0125 1.385 0.22
42 1.0375 1.93529 0.3775
43 1.0625 2.00974 0.545
44 1.0875 2.02215 0.7175
45 1.1125 2.1486 0.905
46 1.1375 2.01732 1.085
47 1.1625 2.0836 1.275
48 1.1875 2.25444 1.485
49 1.2125 1.89254 1.665
50 1.2375 1.77704 1.8375
51 1.2625 1.71661 2.0075
52 1.2875 1.46049 2.155
53 1.3125 1.48123 2.3075
54 1.3375 1.0008 2.4125
55 1.3625 1.00583 2.52
56 1.3875 1.42414 2.675
57 1.4125 0.9251 2.7775
58 1.4375 0.931182 2.8825
59 1.4625 1.11139 3.01
60 1.4875 1.04986 3.1325
61 1.5125 0.632149 3.2075
62 1.5375 1.01572 3.33
63 1.5625 1.12185 3.4675
64 1.5875 0.843197 3.5725
65 1.6125 0.830124 3.6775
66 1.6375 1.01208 3.8075
67 1.6625 0.766817 3.9075
68 1.6875 0.925434 4.03
69 1.7125 0.818871 4.14
70 1.7375 0.843774 4.255
71 1.7625 0.614813 4.34
72 1.7875 0.820172 4.455
73 1.8125 0.615437 4.5425
74 1.8375 0.797855 4.6575
75 1.8625 0.73581 4.765
76 1.8875 0.742949 4.875
77 1.9125 0.81656 4.9975
78 1.9375 0.986968 5.1475
79 1.9625 0.860715 5.28
80 1.9875 0.737639 5.395
81 2.0125 0.823495 5.525
82 2.0375 0.985454 5.6825
83 2.0625 1.01987 5.8475
84 2.0875 1.02292 6.015
85 2.1125 0.965554 6.175
86 2.1375 0.998992 6.3425
87 2.1625 1.17904 6.5425
88 2.1875 0.947019 6.705
89 2.2125 0.893103 6.86
90 2.2375 1.35317 7.0975
91 2.2625 1.16918 7.305
92 2.2875 1.15641 7.5125
93 2.3125 1.04743 7.7025
94 2.3375 1.04986 7.895
95 2.3625 1.29507 8.135
96 2.3875 1.06792 8.335
97 2.4125 1.01722 8.5275
98 2.4375 1.09832 8.7375
99 2.4625 1.21659 8.9725
100 2.4875 1.07624 9.1825
500 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0 0
38 0.9375 0.135982 0.01
39 0.9625 0.198675 0.025
40 0.9875 0.677759 0.0775
41 1.0125 1.60535 0.205
42 1.0375 1.93529 0.3625
43 1.0625 2.66965 0.585
44 1.0875 2.19799 0.7725
45 1.1125 2.17724 0.9625
46 1.1375 2.12939 1.1525
47 1.1625 1.89169 1.325
48 1.1875 2.81805 1.5875
49 1.2125 1.57711 1.7375
50 1.2375 1.46799 1.88
51 1.2625 1.64087 2.0425
52 1.2875 1.75754 2.22
53 1.3125 1.09271 2.3325
54 1.3375 1.21526 2.46
55 1.3625 1.05261 2.5725
56 1.3875 1.03365 2.685
57 1.4125 0.970227 2.7925
58 1.4375 0.997695 2.905
59 1.4625 1.06781 3.0275
60 1.4875 1.17842 3.165
61 1.5125 0.90608 3.2725
62 1.5375 0.974263 3.39
63 1.5625 0.754701 3.4825
64 1.5875 0.72274 3.5725
65 1.6125 0.909183 3.6875
66 1.6375 0.797987 3.79
67 1.6625 0.728476 3.885
68 1.6875 1.09541 4.03
69 1.7125 0.818871 4.14
70 1.7375 0.715374 4.2375
71 1.7625 0.72331 4.3375
72 1.7875 0.784513 4.4475
73 1.8125 0.738524 4.5525
74 1.8375 0.728476 4.6575
75 1.8625 0.73581 4.765
76 1.8875 0.759834 4.8775
77 1.9125 0.566592 4.9625
78 1.9375 0.707327 5.07
79 1.9625 0.844475 5.2
80 1.9875 1.12249 5.375
81 2.0125 0.93435 5.5225
82 2.0375 1.07931 5.695
83 2.0625 1.11258 5.875
84 2.0875 0.96185 6.0325
85 2.1125 1.04099 6.205
86 2.1375 1.10336 6.39
